context,response,label,explanation
"임요환은 매우 경쟁적이고 승부욕이 강한 사람으로 알려져 있으며, 그의 가족도 비슷한 성향을 가지고 있을 것이라는 추측이 담겨 있다.","아, 그러게요. 아침에 누가 더 빨리 밥 먹나로도 경쟁하겠어요.",Sarcasm,반응이 과장된 방식으로 가족의 경쟁심을 비꼬아 표현하여 실제로는 그들의 경쟁심이 일상적인 상황에서까지 미치지 않을 것이라는 의미를 전달하고 있다.
의사소통이 잘 되지 않는 상황,저분이랑 얘기하면 벽이랑 대화하는 기분이겠네.,Sarcasm,상대방과의 대화가 전혀 의미가 없다는 것을 비유적으로 표현하여 실제로는 대화가 잘 이루어지지 않는 상황을 풍자하고 있다.
누군가의 말투가 일본어를 번역한 것처럼 어색하게 들린다.,그 사람의 말투는 정말 독특하고 흥미롭다.,Non-Sarcasm,"이 문장은 그 사람의 말투를 긍정적으로 평가하며, 비꼬지 않고 진심으로 흥미를 느끼고 있음을 나타낸다."
군대에서 계급에 상관없이 개인적인 일은 스스로 해결해야 한다는 주장.,"그렇죠, 장군님들도 이제 커피를 직접 타 마시면서 군대의 민주화를 선도하고 계시네요. 다음엔 설거지 당번도 직접 하시겠어요?",Sarcasm,"장군들이 개인적인 일까지 직접 해야 한다는 주장을 비꼬며, 실제로는 그들이 그런 일을 하지 않을 것이라는 점을 강조하고 있습니다."
화자는 쓸데없는 일에 에너지를 낭비하는 대신 자신과 소중한 사람에게 집중하는 것이 더 낫다고 생각한다.,"맞아요, 쓸데없는 일에 에너지를 쏟는 건 마치 물 없는 수영장에서 수영하는 것만큼이나 생산적이죠^^",Sarcasm,"물 없는 수영장에서 수영하는 것은 불가능하고 비생산적이라는 점에서, 쓸데없는 일에 에너지를 쏟는 것을 비꼬는 표현이기 때문에 sarcasm이다."
상대방이 평소와 다르게 보이거나 문제가 있어 보이는 상황,"아니요, 그냥 세상을 구하느라 좀 바빴어요.",Sarcasm,상대방의 문제를 진지하게 받아들이지 않고 과장된 방식으로 대답하여 상황을 비꼬고 있다.
최대집이 의사보다는 정치 활동에 더 집중하고 있다는 상황,최대집이 의사 가운을 입고 국회로 출근할 날도 머지않았네요.,Sarcasm,"이 표현은 최대집이 의사로서의 역할보다 정치 활동에 집중하고 있다는 사실을 비꼬아, 그가 의사 가운을 입고 국회에 출근하는 것이 어울리지 않음을 강조하고 있습니다."
제로코크와 제로펩시의 카페인 함량을 비교하는 상황,"맞아요, 제로펩시 마시면 밤새도록 잠 안 와서 생산성 폭발하겠네요!",Sarcasm,"제로펩시의 카페인 함량이 낮다는 점을 비꼬아, 실제로는 생산성이 떨어질 것이라는 의미로 반응하고 있기 때문입니다."
아이돌 가수가 대형기획사의 지원을 받아 여러 방송에 출연하는 상황,이 아이돌 가수는 대형기획사의 지원 덕분에 다양한 방송에서 활발하게 활동하고 있습니다.,Non-Sarcasm,이 문장은 아이돌 가수의 활동과 기획사의 지원을 긍정적으로 설명하고 있어 비풍자적입니다.
울타리 밖에서 물을 담으려다 다 흘려서 혼나는 상황,다음에는 더 조심해서 물을 담아야겠어요.,Non-Sarcasm,이 문장은 상황을 반성하고 개선하려는 의도를 나타내므로 비풍자적입니다.
반려동물들이 함께 지내는 상황,우리 집의 반려동물들은 서로 잘 어울려서 항상 즐거운 시간을 보냅니다.,Non-Sarcasm,이 문장은 반려동물들이 화목하게 지내는 긍정적인 상황을 진지하게 묘사하고 있기 때문에 비풍자적입니다.
은지 언니가 유명 브랜드 SUNDAYMONDAY의 의상을 입어보고 그 독특한 스타일에 감탄하며 친구들과 가게 안에서 떠들고 있는 상황,정말 대단해! 이제 SUNDAYMONDAY의 의상 덕분에 패션계의 거장이 된 기분이야. 다음엔 파리 패션위크에 초대받겠어!,Sarcasm,"패션계의 거장이 된 기분이라는 표현은 실제로는 과장된 칭찬으로, 의상의 진정한 가치를 비꼬는 의미가 담겨 있다."
아파트를 팔지 않고 세를 주었기 때문에 다행이라고 생각하는 상황,"아파트를 세를 주어서 정말 다행이네요. 이제 플러퍼를 고용할 필요가 없으니, 그 돈으로 그냥 커피나 마시러 가죠!",Sarcasm,아파트를 세를 주는 것이 실제로는 큰 비용 절감이 아닌데도 이를 긍정적으로 과장하여 표현함으로써 아이러니한 상황을 강조하고 있다.
서로에게 익숙해져서 의존적인 관계에 있는 상황,"맞아요, 우리는 서로에게 길들여진 게 아니라, 마치 오래된 소파와 그 위의 쿠션처럼 그냥 눌려져 있는 것뿐이죠.",Sarcasm,"반응에서 '길들여진 게 아니라'는 표현은 실제로는 서로에게 의존적인 관계를 비꼬아, 단순히 눌려져 있다는 비유를 통해 관계의 부정적인 측면을 강조하고 있기 때문입니다."
자신의 몫이나 이익이 모두 다른 사람에게 넘어간 상황,"아, 역시 저는 일만 하고 결과는 다른 사람이 가져가는 게 제 인생 모토였죠!",Sarcasm,"반응에서 '인생 모토'라는 표현은 실제로는 불만을 나타내며, 자신의 노력에 대한 보상을 받지 못한 상황을 비꼬는 의미로 사용되었기 때문에 비꼬는 어조가 드러난다."
주식이나 투자에서 큰 손실을 본 상황,앱을 삭제했으니 이제 손실도 삭제되겠네요!,Sarcasm,앱 삭제가 실제 손실을 없애는 것과는 전혀 관련이 없다는 점에서 비꼬는 표현이다.
"빈센트 반 고흐의 작품을 감상하며 그의 외로움과 열정, 따스함을 느끼는 상황","고흐의 그림은 그의 깊은 감정을 잘 전달하고 있어, 감상하는 동안 큰 감동을 받았습니다.",Non-Sarcasm,이 문장은 고흐의 작품에 대한 진정한 감동과 그의 감정을 이해하고 있다는 것을 표현하고 있어 비풍자적입니다.
향로에 대한 억측이 많았던 상황,"향로는 전통적으로 많은 사람들에게 중요한 의미를 지니고 있으며, 그 사용에 대한 다양한 의견이 존재하는 것은 자연스러운 일입니다.",Non-Sarcasm,이 문장은 향로의 중요성을 인정하고 다양한 의견이 존재하는 것에 대해 진지하게 설명하고 있어 비풍자적입니다.
구입한 제품의 품질에 문제가 있는 상황,이 제품의 품질이 기대에 미치지 않아 매우 실망스럽습니다.,Non-Sarcasm,이 문장은 제품의 품질에 대한 진지한 불만을 표현하고 있어 비풍자적입니다.
북한에서 태어났다면 더 힘든 삶을 살았을 것이라는 상황,"맞아, 요즘은 인터넷 속도 느린 것도 참기 힘든데 말이야.",Sarcasm,인터넷 속도의 문제를 언급하며 실제로는 북한의 어려운 상황을 가볍게 넘기고 있어 진지한 문제를 비꼬는 의도가 드러난다.
크리스마스 이브에 기대하고 본 영화가 재미없고 졸린 상황,"아, 크리스마스 이브 최고의 수면 보조제 발견했네. 이제 불면증 걱정은 없겠어!",Sarcasm,"영화가 재미없어 졸린 상황에서, '최고의 수면 보조제'라는 표현은 실제로는 영화의 재미없음을 비꼬는 의미로 사용되었다."
인형의 품질에 문제가 있는 상황,이 인형은 품질이 좋지 않아 교환이 필요합니다.,Non-Sarcasm,"문장이 인형의 품질 문제를 진지하게 언급하고 있으며, 문제 해결을 위한 행동을 제안하고 있기 때문에 비풍자적입니다."
병원에서 환자를 방문할 수 없는 상황,환자를 위해 최선을 다하고 있는 의료진에게 감사해야 할 때입니다.,Non-Sarcasm,환자의 안전과 의료진의 노력을 진지하게 인정하는 긍정적인 메시지이기 때문에 비풍자적입니다.
'사랑'이라는 개념이 너무 어려워서 이해하기 힘든 상황,"사랑은 복잡한 감정이지만, 서로의 마음을 이해하려고 노력하는 것이 중요합니다.",Non-Sarcasm,이 문장은 사랑의 복잡성을 인정하면서도 긍정적인 태도로 접근하는 내용을 담고 있어 비풍자적입니다.
사람들이 혜경궁 사건에 대해 무관심한 상황,혜경궁 사건에 대한 관심이 필요한 시점입니다.,Non-Sarcasm,"이 문장은 사건의 중요성을 강조하며, 진지하게 관심을 촉구하는 내용으로 비풍자적입니다."
웃음을 만드는 것이 매우 어렵고 개그맨이 가장 어려운 직업이라는 상황,"맞아요, 개그맨이 되면 매일매일 웃음이 넘쳐서 스트레스가 하나도 없을 거예요. 그래서 다들 개그맨을 꿈꾸는 거죠, 너무 쉬운 직업이라서!",Sarcasm,"개그맨의 직업이 실제로 어렵다는 점을 반어적으로 강조하며, '너무 쉬운 직업'이라는 표현으로 비꼬고 있기 때문에 sarcasm입니다."
영화나 드라마의 후속편 스토리가 기대에 못 미치는 상황,후속편이 기대했던 것만큼 흥미롭지 않아서 아쉬웠습니다.,Non-Sarcasm,"이 문장은 단순히 아쉬움을 표현하며, 비난이나 조롱이 아닌 진솔한 감정을 담고 있습니다."
영화의 평점이 낮아도 등록을 위해 평점을 선택해야 하는 상황,"이 영화는 기대에 미치지 못했지만, 평점을 남기는 것은 중요하니 2점을 주겠습니다.",Non-Sarcasm,영화의 평점이 낮다는 사실을 인정하면서도 평점을 남기는 행위의 중요성을 강조하고 있기 때문에 비풍자적입니다.
날씨가 매우 더운 상황,"아주 좋아요, 이제 사우나에 돈 쓸 필요가 없겠어요!",Sarcasm,더운 날씨를 사우나에 비유하며 실제로는 불쾌한 상황을 긍정적으로 표현하고 있어 아이러니한 의미를 담고 있습니다.
전기 기기를 제대로 설치하지 못해 잘못된 방법으로 설치했지만 작동은 되는 상황.,이 기기가 이렇게 작동하는 것은 정말 다행이다.,Non-Sarcasm,"기기가 작동하는 것에 대한 진정한 안도감을 표현하고 있으며, 상황의 긍정적인 면을 강조하고 있기 때문에 비풍자적입니다."
정치인이 당원보다 외부 사람들에게 더 큰 감동을 주겠다는 전략을 세운 상황,정말 혁신적인 전략이네요. 당원들 실망시키고 외부 사람들에게 감동을 주는 게 정치의 새로운 정의인가 봅니다.,Sarcasm,정치인의 전략을 비꼬며 그 아이디어가 비논리적이고 부적절하다는 것을 강조하고 있기 때문에 sarcasm이다.
남편이 지나치게 사랑을 표현해서 부담스러운 상황,남편이 절 너무 사랑해서 가끔 숨이 막혀요. 사랑의 과다 복용은 위험할 수 있답니다.,Sarcasm,"사랑이 과다 복용될 수 있다는 표현은 실제로 사랑이 위험하다는 의미가 아니라, 남편의 과도한 사랑 표현이 부담스럽다는 것을 비꼬는 방식으로 나타냅니다."
"유명인의 광고를 보고 기대감에 제품을 구매했으나, 본인의 입맛에는 맞지 않았던 상황",역시 광고의 힘은 대단하군요. 내 입맛까지 바꿔줄 줄 알았어요!,Sarcasm,"광고의 효과를 과장하여 표현하며, 실제로는 기대에 미치지 못한 제품에 대한 비꼬는 반응이다."
물건을 수리 또는 교체하기 위해 보냈는데 시간이 오래 걸리는 상황,이렇게 오랜 시간이 걸릴 줄은 몰랐습니다. 기다려야겠네요.,Non-Sarcasm,"문장이 상황에 대한 진솔한 감정을 표현하고 있으며, 비꼬는 의미가 없기 때문에 비풍자적입니다."
"타이어은행의 문제가 지속되어 왔으나, 가맹 해지로 사건이 마무리되는 상황","아, 이제 가맹 해지만 하면 모든 문제가 마법처럼 해결되는군요. 전국의 모든 타이어뱅크가 갑자기 완벽해질 것 같네요. 정말 놀라운 해결책입니다!",Sarcasm,"반응에서 '마법처럼 해결된다'는 표현은 실제로 문제 해결이 쉽지 않음을 비꼬는 것으로, 진지한 해결책이 아닌 비꼬는 태도를 나타냅니다."
손잡이가 없는 컵을 구매한 상황,"손잡이가 없는 컵이라니, 이제 손가락 운동까지 챙겨주는 건강한 컵이네요!",Sarcasm,"실제로 손잡이가 없는 컵이 불편함을 주는 상황에서, 이를 긍정적으로 과장하여 언급함으로써 비꼬는 표현이기 때문입니다."
"90점을 준 사람은 있는데, 그 점수를 불호하는 사람도 있으며, 갑자기 재미있게 한 사람들을 조롱하는 것은 시비를 거는 것으로 보이는 상황",모두의 의견을 존중하는 것이 중요합니다.,Non-Sarcasm,이 문장은 사람들의 다양한 의견을 인정하고 존중하자는 긍정적인 메시지를 전달하고 있어 비풍자적입니다.
어떤 영화나 공연이 성인용 콘텐츠임에도 불구하고 부모들이 초등학생 자녀를 데리고 오는 상황.,"정말이지, 초등학생들에게 인생의 참맛을 일찍부터 보여주려는 훌륭한 교육 방침이네요!",Sarcasm,어린이에게 부적절한 콘텐츠를 보여주는 것을 비꼬아 '훌륭한 교육 방침'이라고 표현하여 실제로는 그 행동을 비판하고 있다.
소비자가 여러 개의 부정적인 리뷰가 같은 사람이나 그룹에 의해 작성되었다고 의심하는 상황,"와, 진짜 창의력 대단하시네요. 다양한 아이디로 1점 주는 거 보니 예술가가 따로 없어요!",Sarcasm,"부정적인 리뷰를 작성한 사람의 행동을 칭찬하는 듯 보이지만, 실제로는 그 행동을 비꼬며 조롱하는 의미가 담겨 있다."
정수기 설치 후 수압이 약해져서 실망한 상황,정수기를 설치한 후 수압이 낮아져서 매우 실망했습니다.,Non-Sarcasm,이 문장은 정수기 설치로 인한 실제 불만을 진지하게 표현하고 있어 비풍자적입니다.
포인트를 충전했지만 사용할 곳이 없는 상황,충전한 포인트를 사용할 수 있는 곳을 찾는 것이 중요합니다.,Non-Sarcasm,이 문장은 상황의 해결책을 제시하며 진지한 조언을 하고 있기 때문에 비풍자적입니다.
상대방을 가볍게 여기거나 중요하지 않게 생각하는 상황,"아, 그렇군요. 당신이 내 인생의 주인공인 줄 알았는데, 알고 보니 그냥 간식이었네요.",Sarcasm,상대방을 주인공으로 여기는 척하면서 실제로는 그들의 중요성을 비하하는 표현이기 때문에 비꼬는 말투로 해석된다.
음악 방송에 참석하여 대기하는 상황,뮤뱅은 아마도 우리를 운동회 참가자처럼 줄 세워놓고 기다리게 할 거야. 체력 단련의 기회지!,Sarcasm,뮤뱅에서의 대기 시간을 운동회처럼 비유하며 체력 단련의 기회라고 말함으로써 실제로는 불만을 표현하고 있다.
시댁에 방문할 때마다 청소와 설거지를 도맡아 해야 하는 상황.,시댁에 가면 항상 청소와 설거지를 도와드리려고 노력합니다.,Non-Sarcasm,이 문장은 시댁에 가는 것을 긍정적으로 바라보며 도움을 주려는 의도를 표현하고 있어 비풍자적입니다.
여행을 가고 싶지만 경제적인 부담이나 시간적 제약으로 인해 갈 수 없는 상황,"여행을 가고 싶지만, 현재의 상황에서는 계획을 세우기 어려운 것 같습니다.",Non-Sarcasm,"이 문장은 진정한 감정을 표현하며, 상황의 어려움을 솔직하게 인정하고 있기 때문에 비풍자적입니다."
사람들이 불완전한 정보로 불안해하는 상황,"맞아요, 정보가 부족할수록 걱정은 사라지죠. 걱정은 정보의 과잉에서만 오는 법이니까요.",Sarcasm,"실제로는 불완전한 정보가 불안을 증가시키는데, 반응에서는 그 반대의 주장을 하여 비꼬고 있다."
기자가 온라인 커뮤니티에서 정보를 수집하고 있는 상황,기자는 다양한 의견과 정보를 수집하기 위해 온라인 커뮤니티를 적극적으로 활용하고 있다.,Non-Sarcasm,"이 문장은 기자의 정보 수집 활동을 사실적으로 설명하고 있으며, 비꼬거나 조롱하는 요소가 없다."
주식이나 암호화폐 등 투자 자산의 가격이 하락하여 손실을 보고 있는 상황,"이제 520원이라니, 거의 부자가 된 기분이네요!",Sarcasm,실제로는 손실을 보고 있는 상황에서 520원이라는 낮은 가격을 언급하며 부자가 된 기분이라고 말하는 것은 비꼬는 표현이다.
NHL 커미셔너가 어떤 문제로 인해 청문회에 불려가는 상황이다.,NHL 커미셔너는 청문회에서 중요한 질문에 답변해야 할 것이다.,Non-Sarcasm,이 문장은 커미셔너의 역할과 상황을 진지하게 설명하고 있어 비풍자적이다.
"도로에서 포르쉐와 같은 고급차가 먼저 지나가고, 포터가 끼어들었다.","역시 도로의 진정한 왕자는 포터지, 포르쉐는 그냥 장식일 뿐이야.",Sarcasm,고급차인 포르쉐를 비하하고 포터를 과장되게 칭찬함으로써 진정한 가치가 포터에 있다는 주장을 비꼬고 있다.
임명 과정에서 논란이 있는 상황,"이번 임명 과정에 대한 논의는 매우 중요하며, 모든 의견을 존중해야 합니다.",Non-Sarcasm,"이 문장은 논란을 진지하게 다루고 있으며, 의견 존중의 중요성을 강조하고 있어 비풍자적입니다."
핸드폰 용량이 부족해서 추가 용량을 구매한 상황,"이렇게 간편하게 추가 용량을 사서 폰에 붙일 수 있다니, 이제는 정말로 물리적으로 용량을 추가하는 시대가 왔나 봐요!",Sarcasm,"실제로 핸드폰의 용량은 물리적으로 추가할 수 없기 때문에, '물리적으로 용량을 추가하는 시대'라는 표현은 비꼬는 의미로 사용되었다."
히밥님이 음식을 맛있게 먹는 모습이 신봉선과 비슷하다는 상황,히밥님이 음식을 즐기는 모습이 정말 인상적입니다.,Non-Sarcasm,이 문장은 히밥님의 음식을 먹는 모습에 대한 긍정적인 평가를 담고 있어 비풍자적입니다.
디자이너의 작품이나 스타일을 칭찬하는 상황,"와, 그 디자이너의 작품이 정말 독창적이네요. 마치 다른 모든 작품을 참고한 것처럼요.",Sarcasm,작품이 독창적이지 않고 다른 작품들을 모방했다는 점을 강조함으로써 진정한 칭찬이 아님을 드러내고 있기 때문에.
작가의 그림체가 다른 작품과 매우 유사하여 혼동될 수 있는 상황,"아, 그 작가님은 아마 복사기 앞에 앉아 작업하시는 게 아닐까요?",Sarcasm,"작가가 다른 작품을 단순히 복사하는 것처럼 비유적으로 표현하여, 그의 창의성을 조롱하고 있다는 점에서 풍자적이다."
영화나 작품의 평론가 평점이 좋지만 실제로는 그렇지 않을 수 있다는 상황.,"평론가들이 좋아하는 영화는 항상 대중의 취향과 일치하죠, 정말 놀랍습니다!",Sarcasm,"평론가의 취향과 대중의 취향이 일치하지 않는다는 점을 비꼬아 표현함으로써, 실제로는 놀랍지 않다는 것을 암시하고 있습니다."
어떤 상황에서 무언가가 재미있거나 비꼬는 상황,이 상황은 정말 흥미롭고 웃기네요.,Non-Sarcasm,이 문장은 상황의 재미를 진지하게 인정하고 긍정적으로 표현하고 있기 때문에 비풍자적입니다.
조용기 씨가 한국에서 목사로 활동하는 상황,조용기 씨가 한국에서 목사로 활동하는 건 인류 평화를 위해 다행이다. 미국에서 목회를 했다면 아마도 십자군 전쟁을 일으키자고 할 정도의 인물일 테니까. 그를 보면 적그리스도나 루시퍼를 보는 것 같아 무섭고 경악스럽다.,Sarcasm,응답은 조용기 씨의 목회 활동을 긍정적으로 언급하면서도 그의 성격을 부정적으로 묘사하여 실제로는 비꼬는 의미를 담고 있다.
책 제목을 헷갈려 하는 상황,"네, 언어의 온도, 감정의 습도, 그리고 이해의 기압까지 다 체크해야죠!",Sarcasm,실제로는 책 제목을 헷갈리는 것이 단순한 실수임에도 불구하고 과장된 요소들을 언급하여 상황을 비꼬고 있다.
할머니가 치매로 요양원에 계시고 코로나로 인해 면회를 못 가는 상황,"아, 그럼 요양원은 마치 VIP 클럽이네요. 코로나 덕분에 면회도 못 가고, 할머니는 '독립적인 생활'을 즐기고 계시겠어요.",Sarcasm,응답은 요양원의 비극적인 상황을 과장하여 긍정적인 이미지로 표현함으로써 실제로는 부정적인 감정을 드러내고 있다.
qm6 차량의 성능이 기대에 미치지 못하는 상황,"qm6는 속도 대신 안전을 중시하는 차라서, 칼치기 대신 느긋한 드라이브를 권장합니다!",Sarcasm,"응답은 차량의 성능 부족을 안전 강조로 비꼬아 표현하며, 실제로는 성능 저하에 대한 불만을 우회적으로 드러내고 있다."
결혼을 앞두고 상대방에 대한 믿음이 부족한 상황,"맞아, 믿음 없이 결혼하면 매일매일이 서스펜스 영화 같겠지!",Sarcasm,결혼에 대한 진지한 고민을 유머로 바꾸어 상대방의 불안감을 비꼬는 표현이기 때문에.
삼성그룹의 채용 방식 변화가 발표된 상황,"채용 방식이 바뀌어도 걱정할 게 없다니, 마치 시험 없이도 대학에 갈 수 있는 기분이네요.",Sarcasm,"시험 없이 대학에 갈 수 있다는 비유는 일반적으로 불가능한 상황을 암시하며, 채용 방식 변화에 대한 불안감을 반어적으로 표현하고 있습니다."
주식이나 투자에서 큰 손실을 본 상황,"이번 투자에서 많은 손실을 입었지만, 이를 교훈 삼아 다음에는 더 신중하게 접근하겠습니다.",Non-Sarcasm,이 문장은 손실을 인정하고 앞으로의 개선을 다짐하는 진지한 태도를 나타내기 때문에 비풍자적입니다.
"일부 사람들은 특정 성별이나 집단에 대한 편견을 가지고 있으며, 이를 정치적 상황과 연결지어 불만을 표현하고 있다.","모든 사람은 공정하게 대우받아야 하며, 편견은 사회의 발전을 저해할 수 있습니다.",Non-Sarcasm,"이 문장은 편견의 부정적인 영향을 진지하게 언급하며, 사회적 정의를 강조하고 있어 비풍자적입니다."
"빅뱅이론이라는 TV 프로그램의 에피소드가 실망스러웠고, 특히 캐릭터 페니에 대한 실망감이 크다.",이번 에피소드에서 페니의 행동이 기대에 미치지 못해 아쉬웠습니다.,Non-Sarcasm,"이 문장은 페니에 대한 실망감을 솔직하게 표현하고 있으며, 비꼬는 느낌이 전혀 없습니다."
서울우유 버터의 가격이 비싸다고 느껴짐.,서울우유 버터의 가격이 비싸서 다른 브랜드를 고려해보는 것이 좋을 것 같아요.,Non-Sarcasm,"이 문장은 실제로 가격이 비쌌다는 의견을 제시하고 있으며, 대안을 제안하는 진지한 조언을 담고 있습니다."
10차선을 무단횡단하다가 사고가 난 상황,"아, 맞아요. 10차선 무단횡단은 아마도 올림픽 종목으로 추가되어야 할 만큼 대단한 도전이죠!",Sarcasm,"사고를 당한 심각한 상황을 비꼬아 표현하며, 무단횡단의 위험성을 과장하여 조롱하는 방식으로 사악한 유머를 사용하고 있다."
"프린터 잉크를 정품으로 구매했으나, 리필이 불편한 상황","정품 잉크를 사면 리필이 불편하다는 건, 정품이란 이름에 모든 것을 맡겨야 한다는 뜻이죠. 역시 믿음은 중요해요!",Sarcasm,정품 잉크의 불편함을 강조하면서 '믿음은 중요해요'라는 표현으로 상황의 아이러니를 비꼬고 있기 때문에.
영화나 드라마와 같은 감동적인 작품을 보고 감동을 받아 댓글을 남긴 상황,정말 감동적이라서 23년 동안 로그인 안 했던 계정을 드디어 활성화시켰군요. 다음엔 46년 만에 로그인하시겠어요?,Sarcasm,로그인하지 않은 오랜 기간을 언급함으로써 감동이 과장되었음을 비꼬고 있어 실제로는 진정한 감동이 아니라는 것을 암시하고 있습니다.
배송이 매우 느리고 서비스가 좋지 않은 택배업체를 선택한 상황,이 택배업체는 배송 속도가 느리고 서비스 품질이 낮아서 다음에는 다른 업체를 선택해야 할 것 같습니다.,Non-Sarcasm,문장이 택배업체의 문제점을 진지하게 지적하며 개선 방안을 제시하고 있기 때문에 비풍자적입니다.
올림픽 개최를 강행하려는 IOC와 일본 정부에 대한 비판,"모두가 안전을 걱정하는데, 올림픽 정신은 단순히 '참가하는 것'이 아니라 '무슨 일이 있어도 개최하는 것'이었나 보네요.",Sarcasm,"올림픽 정신을 부정적으로 비꼬며, 안전을 무시하고 개최하려는 태도를 조롱하고 있기 때문에 sarcasm이다."
"어두운 길을 혼자 다니는 것이 무서워 남자친구에게 매일 데리러 오라고 부탁하고 싶지만, 그것이 부담스러워 회사에 시간대 변경을 요청할지 고민하는 상황",남자친구에게 데리러 와달라고 솔직하게 이야기해보는 것이 좋을 것 같아요.,Non-Sarcasm,이 문장은 상대방에게 솔직하게 감정을 표현하고 도움을 요청하는 것이 좋다는 진지한 조언을 담고 있습니다.
친구들이나 지인들이 모임이나 행사에 자신을 초대하지 않는 상황,나는 친구들과의 소중한 시간을 함께 하고 싶다.,Non-Sarcasm,이 문장은 친구들과의 관계를 진지하게 생각하며 초대를 바라는 진솔한 마음을 표현하고 있기 때문에 비풍자적입니다.
영화나 드라마의 주연 배우들이 젊었을 때의 외모가 인상적인 상황,그럼 이제부터는 주연배우들 사진만 모아서 감상하면 되겠네요.,Sarcasm,주연 배우들의 외모를 감상하는 것만으로는 영화나 드라마의 본질을 이해할 수 없다는 점을 비꼬는 의미가 담겨 있다.
"예술 작품을 감상하던 중, 작품이 지나치게 추상적이어서 이해하기 어려운 상황",이 정도면 작품이 아니라 숨바꼭질을 하고 있는 거네요!,Sarcasm,"작품이 이해하기 어렵다는 비판을 숨바꼭질에 비유하여, 실제로는 작품이 아닌 것처럼 과장하여 조롱하는 표현이기 때문입니다."
블로그 코딩을 잘하지 못해 다른 사람의 코드를 가져다 사용한 상황.,"그래도 남의 코드 주워 쓰는 것도 일종의 재능이죠, 남들이 해둔 걸 잘 활용하는 능력!",Sarcasm,"남의 코드를 사용하는 것을 진정한 재능으로 칭찬하는 것은 실제로는 그 행동을 비꼬는 의미로, 진정한 코딩 능력을 부각시키지 않기 때문입니다."
누군가에 의존하여 행복을 느끼는 상황,"아, 그렇죠. 누군가가 내 기대와 어긋나면 바로 행복이 증발하는 마법 같은 일이 벌어지죠. 그래서 차라리 혼자서 행복을 찾는 게 더 안정적이라니까요. 결국엔 나 자신이 가장 믿을 만한 친구니까요.",Sarcasm,"이 반응은 누군가에 의존하는 것이 불안정하다는 점을 강조하면서, 혼자서 행복을 찾는 것이 더 좋다는 말이 실제로는 상대방의 의존적 태도를 비꼬는 방식으로 표현되었기 때문에 sarcasm으로 해석된다."
한국 농구가 인기가 없거나 주목받지 못하는 상황,한국 농구는 언제 죽었는지도 모르게 잘 살아있네!,Sarcasm,한국 농구의 인기가 없는 상황을 반어적으로 표현하여 실제로는 죽어있다는 의미를 전달하고 있다.
연애 궁합을 볼 정도로 가까운 남녀가 고백할 기회를 찾고 있는 상황,서로의 마음을 확인하고 싶어서 조심스럽게 고백할 타이밍을 고민하고 있어.,Non-Sarcasm,"이 문장은 두 사람의 진정한 감정을 표현하며, 고백을 고민하는 상황을 진지하게 다루고 있기 때문에 비풍자적이다."
상황이 좋지 않고 개선될 기미가 보이지 않는 상황,"현재 상황이 어려운 것은 사실이지만, 우리는 함께 노력하여 극복할 수 있을 것입니다.",Non-Sarcasm,이 문장은 상황의 어려움을 인정하면서도 긍정적인 해결 의지를 표현하고 있어 비풍자적입니다.
아파트에서 층간소음이 심한 상황,"층간소음 때문에 정말 힘들어, 이 문제를 해결할 방법이 필요해.",Non-Sarcasm,"이 문장은 층간소음으로 인한 실제 어려움을 진지하게 표현하고 있으며, 문제 해결을 원하고 있다는 진정한 감정을 담고 있습니다."
초등학교 교사가 모든 과목을 가르치는 것이 어렵다고 느끼는 상황,"맞아요, 모든 과목을 가르치면서도 여유롭게 커피 한잔 마실 시간도 있으니 얼마나 쉬운 일이겠어요!",Sarcasm,"교사가 모든 과목을 가르치는 것이 어렵다는 점을 강조하기 위해, 실제로는 힘든 상황임에도 불구하고 커피를 마실 여유가 있다는 반어적인 표현을 사용하고 있다."
"배송은 빠르고 사은품은 잘 챙겨주지만, 제품의 품질이 좋지 않아 실망스러운 상황","배송은 총알같이 빠른데, 제품은 마치 중세 시대 유물처럼 와서 감탄했어요. 균형을 맞추기 위해 종이로 DIY할 기회를 주셔서 감사하네요. 색상도 예측 불가한 서프라이즈라니, 매번 색다른 경험을 선사해주시네요!",Sarcasm,"제품의 품질이 좋지 않다는 불만을 과장된 긍정적인 표현으로 반어적으로 전달하고 있어, 실제로는 비꼬는 의미가 담겨 있다."
부동산에 실망했음에도 불구하고 부동산 비리에 연루된 사람들을 계속해서 뽑는 상황,부동산 비리 문제를 해결하기 위해서는 새로운 인물들을 선출하는 것이 필요합니다.,Non-Sarcasm,이 문장은 부동산 비리 문제를 진지하게 해결하려는 제안을 담고 있어 비풍자적입니다.
꿈을 거의 기억하지 못하는 상황,"아, 꿈이 기억나지 않아서 얼마나 다행인지! 덕분에 매일 아침이 신선한 시작이야.",Sarcasm,꿈을 기억하지 못하는 것을 긍정적으로 표현하며 실제로는 그 상황이 불만족스럽다는 것을 반어적으로 나타내고 있기 때문입니다.
침착맨의 콘텐츠를 너무 좋아해서 없으면 견디기 힘든 상황,"침착맨 없이는 숨도 못 쉬겠네, 산소 대신 침착맨이 필요하겠어!",Sarcasm,침착맨이 없으면 숨을 못 쉰다는 과장된 표현을 통해 실제로는 그리 심각하지 않은 상황임을 드러내고 있다.
